DetailID,BuySellNo,GradeID,InvoiceDesc,SWeight,SWeightUOM,SPrice,SPriceUOM,SAmount,PPrice,PUOM,PAmount,PWeight,PWeightUOM,SCurrencyCd,SFxAmount,PCurrencyCd,PFxAmount,Color,DesignatedCpID,SPo,PPo,LotNo,UnitType,Units,Comment,IsReceived,IsItemReceived
12,51662,877,LDPE A/B,20582,L,0.1,L,2058.2,0.05,L,1029.1,20582,L         ,USD,2058.2,USD,1029.1,          ,,11553,4683,                         , ,0,,NULL,NULL
13,51663,877,PE Feedstock clean & dry mostly clear film baled,35350,L,0.1,L,3535,0.08,L,2800.64,35008,L         ,USD,3535,USD,2800.64,          ,,11554,4684,                         ,B,0,,NULL,NULL
14,51664,877,PE Feedstock clean & dry mostly clear film baled,34220,L,0.1,L,3422,0.08,L,2737.6,34220,L         ,USD,3422,USD,2737.6,          ,,11555,4685,                         ,B,22,,NULL,NULL
15,51665,881,Gaylord Boxes (Full Bottom),500,E,8.5,E,4250,8,E,4000,500,E         ,USD,4250,USD,4000,          ,,11556,4686,                         , ,0,,NULL,NULL
16,51666,925,LDPE W/Surlyn - Natural Purge Blocks,40196,L,0.195,L,7838.22,0.13,L,5225.48,40196,L         ,USD,7838.22,USD,5225.48,          ,,11557,4687,                         , ,0,,NULL,NULL
17,51667,925,LDPE W/Surlyn - Natural Purge Blocks,42000,L,0.195,L,8190,0.13,L,5460,42000,L         ,USD,8190,USD,5460,          ,,11557,4688,                         ,B,0,,NULL,NULL
18,51668,938,MDPE Film On Rolls - Clear With Print,43200,L,0.12,L,5184,0.09,L,3888,43200,L         ,USD,5184,USD,3888,          ,,11558,4689,                         ,B,48,,NULL,NULL
19,51669,10013,HDPE INJECTION 5-10MI,14984,L,0.14,L,2097.76,0,L,0,14984,L         ,USD,2097.76,USD,0,          ,,11559,4690,                         ,G,0,,NULL,NULL
20,51670,842,Mixed Rigid Plastics - Grade A,44300,L,0.07,L,3101,0.025,L,1108,44320,L         ,USD,3101,USD,1108,          ,,11560,4691,                         ,B,34,,NULL,NULL
21,51671,803,PP Tubs/Lids,34355,L,0.15,L,5153.25,0.05,L,1717.75,34355,L         ,USD,5153.25,USD,1717.75,          ,,11561,               ,                         , ,0,,NULL,NULL
