PayableID,BuySellNo,ItemID,CpID,Amount,FxAmount,CurrencyCd,InvoiceNo,InvoiceDt,RcvDt,Posted,IsCheck,CheckNo,APBatchNo,Reference_Date,GLAcct
660002,58871,17057,2427,340,340,USD,135097,2025-04-09 00:00:00,2025-04-10 00:00:00,1,NULL,NULL,112943,NULL,50200
660015,58833,17058,2090,-300,-300,USD,A-496920,2025-01-15 00:00:00,2025-01-15 00:00:00,1,NULL,NULL,112488,NULL,50200
660083,INV58613,17059,1680,106.7,106.7,USD,AP-OFFSET,2024-12-31 00:00:00,2024-12-31 00:00:00,1,NULL,NULL,112407,NULL,NULL
660084,INV58710,17060,1680,250,250,USD,AP-OFFSET,2024-11-22 00:00:00,2024-11-22 00:00:00,1,NULL,NULL,112408,NULL,NULL
660126,58846,17062,1377,-133.9,-133.9,USD,INV58846,2025-01-02 00:00:00,2025-01-02 00:00:00,1,NULL,NULL,113384,NULL,50200
660128,58770,17063,2578,-380.17,-380.17,USD,INV58770,2024-12-13 00:00:00,2024-12-13 00:00:00,1,NULL,NULL,112633,NULL,50200
660131,58852,NULL,2570,2378.25,2378.25,USD,10431,2024-12-30 00:00:00,2025-01-10 00:00:00,1,NULL,NULL,112444,NULL,50100
660134,58832,NULL,1429,922.8,922.8,USD,56006,2024-12-31 00:00:00,2025-01-10 00:00:00,1,NULL,NULL,112435,NULL,50100
660140,58830,NULL,1844,5896.8,5896.8,USD,19245,2024-12-20 00:00:00,2025-01-10 00:00:00,1,NULL,NULL,112428,NULL,50100
660155,58882,17065,2106,1108.6,1108.6,USD,13523,2025-01-15 00:00:00,2025-02-13 00:00:00,1,NULL,NULL,112604,NULL,50300
660178,58776,17066,2195,1350,1350,USD,2448117,2025-01-16 00:00:00,2025-01-16 00:00:00,1,NULL,NULL,112603,NULL,50200
660183,58879,17067,1629,750,750,USD,5437059,2025-01-22 00:00:00,2025-01-24 00:00:00,1,NULL,NULL,112511,NULL,50200
660185,58880,17068,1629,750,750,USD,5454445,2025-02-19 00:00:00,2025-02-21 00:00:00,1,NULL,NULL,112658,NULL,50200
660186,58881,17069,1629,750,750,USD,5457175,2025-02-22 00:00:00,2025-02-28 00:00:00,1,NULL,NULL,112695,NULL,50200
660207,58884,17070,2223,865,865,USD,759669,2025-01-13 00:00:00,2025-01-13 00:00:00,1,NULL,NULL,112921,NULL,50200
660237,58769,NULL,2115,15884,15884,USD,SP241207,2024-12-18 00:00:00,2025-01-08 00:00:00,1,NULL,NULL,112421,NULL,50100
660256,58793,NULL,2570,6682.56,6682.56,USD,10380,2024-12-17 00:00:00,2025-01-07 00:00:00,1,NULL,NULL,112416,NULL,50100
660257,58704,NULL,2570,2371.95,2371.95,USD,10329,2024-12-11 00:00:00,2025-01-07 00:00:00,1,NULL,NULL,112417,NULL,50100
660271,58859,17071,2090,1380,1380,USD,A-501649,2025-02-03 00:00:00,2025-02-07 00:00:00,1,NULL,NULL,112560,NULL,50200
660275,58865,NULL,1429,963.6,963.6,USD,56041,2025-01-06 00:00:00,2025-03-26 00:00:00,1,NULL,NULL,112851,NULL,50100
660292,58840,NULL,1775,-1150,-1150,USD,INV58840,2025-01-14 00:00:00,2025-01-14 00:00:00,1,NULL,NULL,112459,NULL,50100
