ref,role,user_id,alias,name-check (internal),name,street,street2,city,state_id,zip,country
1481,"Supplier,Expense",,FHU WE R EXPORTING SP ZOO,TRUE,FHU WE R EXPORTING SP ZOO,Prymasa Wysznskiego,"13/11,26300",Opoczno,,,United States
1024,Expense,,MIlK RUNS,TRUE,MIlK RUNS,,,,,,United States
1784,"Supplier,Expense",Arthur Akopyan,PLASTIC SERVICES INC,TRUE,PLASTIC SERVICES INC,"Middlesex, nj",,,,,United States
1714,"Customer,Expense",,RECYCLABLE MATERIALS MARKETING,TRUE,RECYCLABLE MATERIALS MARKETING,,,,,,United States
1606,Expense,,REPCO WAREHOUSE,TRUE,REPCO WAREHOUSE,,,,,,United States
2422,Expense,,RUNNING OX LOGISTICS,TRUE,RUNNING OX LOGISTICS,,,,,,United States
2633,"Customer,Expense",David McLawhorn,SOARING EAGLE MATERIAL CO,TRUE,SOARING EAGLE MATERIAL CO,,,,,,United States
2154,Expense,,TRUCKER TBD,TRUE,TRUCKER TBD,,,,,,Canada
2028,Supplier,Igor Beylin,MERLIN PLASTICS,TRUE,MERLIN PLASTICS,616-58th Avenue S.E.,,Calgary,,AB T2H 0P8,Canada
2498,"Customer,Expense",Igor Beylin,GREENOVATIVE SOLUTIONS,TRUE,GREENOVATIVE SOLUTIONS,6555 Chem Cote-de-Liesse,,Montreal,QC,H4T1V5,Canada
2477,"Supplier,Expense",Arthur Buyanovskiy,ELEMENT INTERNATIONAL TRADE INC,TRUE,ELEMENT INTERNATIONAL TRADE INC,206-181 Hymus,Suite 206,Pointe-Claire,QC,H9R 5P4,Canada
1737,Customer,,PLASTIMUM,TRUE,PLASTIMUM,262 Rue Pépin,,Sherbrooke,QC,J1L 2V8,Canada
1951,"Customer,Expense",,BARRETTE OUTDOOR LIVING INC,TRUE,BARRETTE OUTDOOR LIVING INC,583 Grand Bernier Nord,St-Jean-sur-Richelieu,Quebec,,J3B-8K1,Canada
2000,Supplier,Ricardo Pereira,FOX PLASTIC,TRUE,FOX PLASTIC,247 Cleghorn,,St.Lambert,QC,J4R 2J5,Canada
2104,"Customer,Expense",Lindsey Malyavko,GREENLAND PLASTIC RECYCLING,TRUE,GREENLAND PLASTIC RECYCLING,2203 East 43rd,,Vancouver,,V5P 1M8,Canada
2031,"Supplier,Expense",,EARTHMINDED,TRUE,EARTHMINDED,142 Technology Drive,,Arkadelphia,AK,71923,United States
1466,"Customer,Supplier,Expense",,AR RECYCLING LLC,TRUE,AR RECYCLING LLC,1951 Guntersville Road,,Arab,AL,35016,United States
1661,Expense,,JAMES A SMITH TRANSPORTATION INC,TRUE,JAMES A SMITH TRANSPORTATION INC,PO Box 1947,,Cullman,AL,35056,United States
1656,Expense,,JAMES R SMITH TRUCKING COMPANY INC,TRUE,JAMES R SMITH TRUCKING COMPANY INC,PO Box 908,,Cullman,AL,35056,United States
2193,"Customer,Supplier,Expense",Tiffany White,BROTHERS RECYCLING,TRUE,BROTHERS RECYCLING,1620 Vanderbilt Rd,,Birmingham,AL,35234,United States
1593,Expense,,LRS LOGISTICS LLC,TRUE,LRS LOGISTICS LLC,PO BOX 115,,Belk,AL,35545,United States
