ReceiptID,BuySellNo,Amount,FxAmount,CurrencyCd,CheckNo,PaymentDt,EntryDt,DiscountAmt,LedgerID,PostingType,Reference,DepositDate,ARBatchNo
10157,51903,2753.85,2753.85,USD,CK 97531,2019-06-20 00:00:00,2019-06-20 00:00:00,0,NULL,CRE,,NULL,1839
10158,51906,5221.02,5221.02,USD,CK 97531,2019-06-20 00:00:00,2019-06-20 00:00:00,0,NULL,CRE,,NULL,1839
10159,51934,1684,1684,USD,CK 97531,2019-06-20 00:00:00,2019-06-20 00:00:00,0,NULL,CRE,,NULL,1839
10160,51869,1687.9,1687.9,USD,CK 668191,2019-06-20 00:00:00,2019-06-20 00:00:00,0,NULL,CRE,,NULL,1840
10161,51885,3608.9,3608.9,USD,CK 668191,2019-06-20 00:00:00,2019-06-20 00:00:00,0,NULL,CRE,,NULL,1840
10162,51872,2027.85,2027.85,USD,CK 668191,2019-06-20 00:00:00,2019-06-20 00:00:00,0,NULL,CRE,,NULL,1840
10163,51880,1173.6,1173.6,USD,CK 668191,2019-06-20 00:00:00,2019-06-20 00:00:00,0,NULL,CRE,,NULL,1840
10164,51877,791.07,791.07,USD,CK 4165,2019-06-20 00:00:00,2019-06-20 00:00:00,0,NULL,CRE,,NULL,1841
10165,51930,4125,4125,USD,CK 35320,2019-06-20 00:00:00,2019-06-20 00:00:00,0,NULL,CRE,,NULL,1842
10166,51687,518.4,518.4,USD,ck 14337,2019-06-20 00:00:00,2019-06-20 00:00:00,0,1048,UAC,,NULL,1844
10167,51900,6342,6342,USD,ACH 6-25-19,2019-06-25 00:00:00,2019-06-25 00:00:00,0,NULL,CRE,,NULL,1845
10168,51735,231.8,231.8,USD,51735,2019-06-25 00:00:00,2019-06-25 00:00:00,0,NULL,CRE,,NULL,1846
10169,51736,-231.8,-231.8,USD,51735,2019-06-25 00:00:00,2019-06-25 00:00:00,0,NULL,CRE,,NULL,1846
10170,51890,2621,2621,USD,CK 73349,2019-06-25 00:00:00,2019-06-25 00:00:00,0,NULL,CRE,,NULL,1847
10171,51829,8029,8029,USD,CK 220011,2019-06-25 00:00:00,2019-06-25 00:00:00,0,NULL,CRE,,NULL,1848
10172,51870,7752.5,7752.5,USD,CK 220011,2019-06-25 00:00:00,2019-06-25 00:00:00,0,NULL,CRE,,NULL,1848
10173,51875,2963,2963,USD,CK 20013288,2019-06-25 00:00:00,2019-06-25 00:00:00,0,NULL,CRE,,NULL,1849
10174,51868,4941.95,4941.95,USD,CK 20013288,2019-06-25 00:00:00,2019-06-25 00:00:00,0,NULL,CRE,,NULL,1849
10175,51746,-1536,-1536,USD,CK 25383,2019-06-25 00:00:00,2019-06-25 00:00:00,0,NULL,CRE,,NULL,1850
10176,51876,7408,7408,USD,CK 25383,2019-06-25 00:00:00,2019-06-25 00:00:00,0,NULL,CRE,,NULL,1850
10177,51923,14098.8,14098.8,USD,CK 8205,2019-06-25 00:00:00,2019-06-25 00:00:00,0,NULL,CRE,,NULL,1851
10178,51911,1682.04,1682.04,USD,CK 668567,2019-06-25 00:00:00,2019-06-25 00:00:00,0,NULL,CRE,,NULL,1852
10179,51896,2311.4,2311.4,USD,CK 668567,2019-06-25 00:00:00,2019-06-25 00:00:00,0,NULL,CRE,,NULL,1852
10180,51844,2491.7,2491.7,USD,CK 668567,2019-06-25 00:00:00,2019-06-25 00:00:00,0,NULL,CRE,,NULL,1852
10181,51929,5652.08,5652.08,USD,CK 20775,2019-07-03 00:00:00,2019-07-03 00:00:00,0,NULL,CRE,,NULL,1853
10182,51944,5374.2,5374.2,USD,CK 5282,2019-07-03 00:00:00,2019-07-03 00:00:00,0,NULL,CRE,,NULL,1854
10183,51791,7344.5,7344.5,USD,CK 36500,2019-07-03 00:00:00,2019-07-03 00:00:00,0,NULL,CRE,,NULL,1855
10184,51932,883.6,883.6,USD,CJ 669019,2019-07-03 00:00:00,2019-07-03 00:00:00,0,NULL,CRE,,NULL,1856
10185,51920,3036.44,3036.44,USD,CJ 669019,2019-07-03 00:00:00,2019-07-03 00:00:00,0,NULL,CRE,,NULL,1856
10186,51914,2482.62,2482.62,USD,CJ 669019,2019-07-03 00:00:00,2019-07-03 00:00:00,0,NULL,CRE,,NULL,1856
10187,51949,3842.4,3842.4,USD,73466,2019-07-08 00:00:00,2019-07-08 00:00:00,0,NULL,CRE,,NULL,1857
10188,51939,1778.73,1778.73,USD,669487,2019-07-08 00:00:00,2019-07-08 00:00:00,0,NULL,CRE,,NULL,1858
10189,51921,2338.15,2338.15,USD,669487,2019-07-08 00:00:00,2019-07-08 00:00:00,0,NULL,CRE,,NULL,1858
10190,51941,3042,3042,USD,669487,2019-07-08 00:00:00,2019-07-08 00:00:00,0,NULL,CRE,,NULL,1858
10191,51668A,1000.8,1000.8,USD,CK 2089,2019-07-08 00:00:00,2019-07-08 00:00:00,0,NULL,CRE,,NULL,1859
