CRA_ID,CT_ID,RoleNm
1904,19550001,Primary
1905,19600001,Primary
1906,19650001,Primary
1907,19700001,Primary
1908,19750001,Primary
1909,19800001,Primary
1910,19850001,Primary
1911,19900001,Primary
1912,19950001,Primary
1913,20000001,Primary
1914,20050001,Primary
1915,20100001,Primary
1916,20150001,Primary
1917,20200001,Primary
1918,20250001,Primary
1919,20300001,Primary
1920,20350001,Primary
1921,20400001,Primary
1922,20450001,Primary
1923,20500001,Primary
1924,20550001,Primary
1925,20600001,Primary
1926,20650001,Primary
1927,20700001,Primary
1928,20750001,Primary
1929,20800001,Primary
1930,20850001,Primary
1931,20900001,Primary
1933,21000001,Primary
1934,21050001,Primary
1936,21150001,Primary
1937,21200001,Primary
1938,21250001,Primary
1939,21300001,Primary
1941,21400001,Primary
1942,21450001,Primary
1943,21500001,Primary
1944,21550001,Primary
1945,21600001,Primary
1946,21650001,Primary
1947,21700001,Primary
1948,21750001,Primary
1949,21800001,Primary
1950,21850001,Primary
1951,21900001,Primary
1952,21950001,Primary
1953,22000001,Primary
1954,22050001,Primary
1955,22100001,Primary
1956,22150001,Primary
1957,22200001,Primary
1958,22250001,Primary
1959,22300001,Primary
1960,22350001,Primary
1961,22400001,Primary
1962,22450001,Primary
1963,22500001,Primary
1964,22550001,Primary
1965,22600001,Primary
1966,22650001,Primary
1967,22700001,Primary
1968,22750001,Primary
1969,22800001,Primary
1970,22900001,Primary
1971,22950001,Primary
1973,23100001,Primary
1974,23150001,Primary
1975,23200001,Primary
1976,23250001,Primary
1977,23300001,Primary
1978,23350001,Primary
1979,23400001,Primary
1980,23450001,Primary
1981,23500001,Primary
1982,23550001,Primary
1983,23600001,Primary
1984,23650001,Primary
1985,23700001,Primary
1986,23750001,Primary
1987,23800001,Primary
1988,23850001,Primary
1989,23900001,Primary
1990,23950001,Primary
1991,24000001,Primary
1992,24050001,Primary
1993,24100001,Primary
1994,24150001,Primary
1995,24200001,Primary
1996,24250001,Primary
1998,24350001,Primary
1999,24400001,Primary
2000,24450001,Primary
2001,24500001,Primary
2003,24600001,Primary
2004,24650001,Primary
2005,24700001,Primary
2007,24800001,Primary
2008,24850001,Primary
2009,24900001,Primary
2010,24950001,Primary
2012,25050001,Primary
2013,25100001,Primary
2014,25150001,Primary
2015,25200001,Primary
2016,25250001,Primary
2017,25300001,Primary
2019,25400001,Primary
2020,25450001,Primary
2021,25500001,Primary
2022,25550001,Primary
2023,25600001,Primary
2024,25650001,Primary
2025,25700001,Primary
2026,25750001,Primary
2027,25800001,Primary
2028,25850001,Primary
2029,25900001,Primary
2030,25950001,Primary
2031,26000001,Primary
2032,26050001,Primary
2033,26100001,Primary
2034,26150001,Primary
2035,26200001,Primary
2036,26250001,Primary
2037,26300001,Primary
2038,26350001,Primary
2039,26400001,Primary
2040,26450001,Primary
2041,26500001,Primary
2042,26550001,Primary
2043,26600001,Primary
2044,26650001,Primary
2045,26700001,Primary
2046,26750001,Primary
2047,26800001,Primary
2048,26850001,Primary
2049,26900001,Primary
2050,26950001,Primary
2051,27000001,Primary
2052,27050001,Primary
2053,27100001,Primary
2054,27150001,Primary
2055,27200001,Primary
2056,27250001,Primary
2057,27300001,Primary
2058,27350001,Primary
2059,27400001,Primary
2060,27450001,Primary
2061,27500001,Primary
2062,27550001,Primary
2063,27600001,Primary
2064,27650001,Primary
2065,27700001,Primary
2066,27750001,Primary
2068,27850001,Primary
2069,27900001,Primary
2070,27950001,Billing
2071,28000001,Billing
2072,28050001,Billing
2073,28100001,Billing
2074,28150001,Billing
2075,28200001,Billing
2076,28250001,Billing
2077,28300001,Billing
2078,28350001,Billing
2079,28400001,Billing
2080,28450001,Billing
2081,28500001,Billing
2082,28550001,Billing
2083,28600001,Billing
2084,28650001,Billing
2085,28700001,Billing
2087,28800001,Billing
2088,28850001,Billing
2090,28950001,Billing
2091,29000001,Billing
2092,29050001,Billing
2093,29100001,Billing
2094,29150001,Billing
2096,29250001,Billing
2097,29300001,Billing
2098,29350001,Billing
2099,29400001,Billing
2100,29450001,Billing
2101,29500001,Billing
2102,29550001,Billing
2103,29600001,Billing
2104,29650001,Billing
2106,29750001,Billing
2108,29850001,Billing
2109,29900001,Billing
2110,29950001,Billing
2111,30000001,Billing
2112,30050001,Billing
2113,30100001,Billing
2115,30200001,Billing
2116,30250001,Billing
2117,30300001,Billing
2118,30350001,Billing
2119,30400001,Billing
2121,30700001,Collections
2122,30750001,Collections
2123,30850001,Collections
2124,30900001,Collections
2125,30950001,Collections
2126,31050001,Collections
2129,31250001,Collections
2130,31300001,Collections
2131,31350001,Collections
2132,31400001,Collections
2133,31450001,Collections
2135,31650001,Collections
2136,31700001,Collections
2138,31800001,Collections
2139,31850001,Collections
2140,31900001,Collections
2142,32000001,Collections
2144,32100001,Collections
2147,32250001,Collections
2148,32300001,Collections
2150,32400001,Collections
2151,32500001,Collections
2152,32550001,Collections
2154,32650001,Collections
2155,32700001,Collections
2157,32800001,Collections
2158,32850001,Collections
2159,32900001,Collections
2160,32950001,Collections
2161,33000001,Collections
2162,33050001,Collections
2163,33100001,Collections
2164,33150001,Collections
2165,33200001,Collections
2169,33400001,Collections
2171,33500001,Collections
2172,33550001,Collections
2173,33600001,Collections
2174,33650001,Collections
2175,33700001,Collections
2177,33800001,Collections
2178,33850001,Collections
2180,33950001,Collections
2183,34100001,Collections
2184,34150001,Collections
2186,34250001,Collections
2187,34300001,Collections
2188,34350001,Collections
2189,34400001,Collections
2191,34500001,Collections
2192,34550001,Collections
2193,34600001,Collections
2194,34650001,Collections
2198,34850001,Collections
2199,34900001,Collections
2201,35000001,Collections
2202,35050001,Collections
2203,35100001,Collections
2204,35200001,Collections
2205,35250001,Collections
2207,35350001,Collections
2209,35450001,Collections
2212,35600001,Collections
2213,35650001,Collections
2215,35750001,Collections
2216,35800001,Collections
2217,35850001,Collections
2218,35900001,Collections
2220,36000001,Collections
2223,36150001,Collections
2225,36250001,Collections
2226,36300001,Collections
2227,36350001,Collections
2229,36450001,Collections
2234,36700001,Collections
2235,36750001,Collections
2236,36800001,Collections
2237,36850001,Collections
2238,36900001,Collections
2239,36950001,Collections
2240,37000001,Collections
2241,37050001,Collections
2242,37100001,Collections
2247,37350001,Collections
2248,37600001,Pricing
2249,37650001,Pricing
2250,37700001,Pricing
2251,37750001,Pricing
2252,37800001,Pricing
2253,37850001,Pricing
2254,37900001,Pricing
2255,37950001,Pricing
2256,38000001,Pricing
2257,38050001,Pricing
2258,38100001,Pricing
2259,38150001,Pricing
2260,38200001,Pricing
2261,38250001,Pricing
2262,38300001,Pricing
2264,38400001,Pricing
2265,38450001,Pricing
2266,38500001,Pricing
2267,38550001,Pricing
2269,52100001,Primary
2273,52300001,Primary
2274,52350001,Primary
2275,52400001,Primary
2276,52450001,Primary
2277,52500001,Collections
2278,52550001,Primary
2280,52650001,Billing
2281,52700001,Billing
2284,52850001,Collections
2285,52900001,Collections
2286,52950001,Collections
2287,53000001,Collections
2288,53050001,Collections
2290,53150001,Primary
2292,53250001,Billing
2293,53300001,Primary
2294,53350001,Collections
2296,53450001,Primary
2297,53500001,Collections
2298,53550001,Collections
2299,53600001,Primary
2300,53650001,Primary
2301,53700001,Collections
2302,53750001,Collections
2303,53800001,Primary
2305,53900001,Collections
2306,53950001,Collections
2307,54000001,Primary
2308,54050001,Primary
2309,54100001,Collections
2310,54150001,Collections
2311,54200001,Primary
2312,54250001,Primary
2313,54300001,Primary
2314,54350001,Collections
2315,54400001,Collections
2316,54450001,Primary
2317,54500001,Primary
2318,54550001,Collections
2319,54600001,Primary
2320,54650001,Primary
2321,54700001,Collections
2322,54750001,Primary
2323,54800001,Primary
2324,54850001,Collections
2325,54900001,Primary
2326,54950001,Primary
2327,55000001,Primary
2328,55050001,Primary
2329,55100001,Primary
2330,55150001,Collections
2331,55200001,Collections
2332,55250001,Primary
2333,55300001,Primary
2334,55350001,Primary
2335,55400001,Primary
2336,55450001,Primary
2337,55500001,Collections
2338,55550001,Primary
2339,55600001,Primary
2340,55650001,Collections
2341,55700001,Primary
2342,55750001,Primary
2343,55800001,Collections
2345,55900001,Primary
2346,55950001,Primary
2348,56050001,Primary
2349,56100001,Collections
2350,56150001,Primary
2351,56200001,Primary
2352,56250001,Primary
2353,56300001,Primary
2357,56500001,Collections
